Vardas                   Pavarde                  ND 1      ND 2      ND 3      ND 4      ND 5      ND 6      ND 7      ND 8      ND 9      ND 10     Egz.      
Vardas130                Pavarde130               3         10        8         8         10        5         3         10        6         2         6         
Vardas131                Pavarde131               8         8         4         5         4         6         2         8         7         5         5         
Vardas132                Pavarde132               3         8         4         8         1         3         4         9         2         3         8         
Vardas133                Pavarde133               2         10        9         4         2         3         7         4         8         2         4         
Vardas134                Pavarde134               9         10        1         3         1         5         10        1         4         8         5         
Vardas135                Pavarde135               2         3         2         5         9         4         3         6         2         8         6         
Vardas136                Pavarde136               4         3         7         6         8         3         8         1         9         1         9         
Vardas137                Pavarde137               4         6         9         8         8         1         9         2         8         6         3         
Vardas138                Pavarde138               9         7         5         10        1         7         2         8         8         6         6         
Vardas139                Pavarde139               6         8         9         9         6         8         4         4         3         9         8         
Vardas140                Pavarde140               8         8         10        2         3         2         10        10        10        6         2         
Vardas141                Pavarde141               7         3         2         4         6         9         8         7         3         7         6         
Vardas142                Pavarde142               2         4         10        8         6         7         4         2         7         9         4         
Vardas143                Pavarde143               10        5         9         7         4         6         5         8         1         9         2         
Vardas144                Pavarde144               9         3         10        4         2         7         4         7         3         7         4         
Vardas145                Pavarde145               6         4         7         3         4         5         7         3         4         2         9         
Vardas146                Pavarde146               8         6         2         5         7         1         8         6         4         5         5         
Vardas147                Pavarde147               1         8         5         5         3         10        2         3         1         1         6         
Vardas148                Pavarde148               1         8         7         5         10        10        2         5         3         8         4         
Vardas149                Pavarde149               10        6         6         6         8         6         10        9         1         3         6         
Vardas150                Pavarde150               5         7         4         10        6         1         6         2         6         2         3         
Vardas151                Pavarde151               9         2         1         3         7         3         2         10        2         1         7         
Vardas152                Pavarde152               5         3         1         2         8         10        4         5         4         6         7         
Vardas153                Pavarde153               6         7         8         1         9         3         8         6         10        4         6         
Vardas154                Pavarde154               2         6         2         5         10        4         3         5         3         6         1         
Vardas155                Pavarde155               6         4         3         10        10        4         9         8         9         9         2         
Vardas156                Pavarde156               4         10        3         2         5         7         3         7         5         4         8         
Vardas157                Pavarde157               6         10        8         7         2         1         3         2         8         2         8         
Vardas158                Pavarde158               7         7         9         4         1         3         1         7         4         2         4         
Vardas159                Pavarde159               8         5         7         8         9         2         4         6         4         9         6         
Vardas160                Pavarde160               7         2         7         2         10        10        2         1         2         5         4         
Vardas161                Pavarde161               7         1         9         2         9         5         8         5         1         1         4         
Vardas162                Pavarde162               1         10        7         10        10        4         2         2         6         5         5         
Vardas163                Pavarde163               10        6         5         6         2         4         10        1         9         6         6         
Vardas164                Pavarde164               7         9         3         9         8         1         7         6         9         1         1         
Vardas165                Pavarde165               6         5         2         4         9         9         4         4         9         10        8         
Vardas166                Pavarde166               1         6         2         2         8         8         10        3         5         3         9         
Vardas167                Pavarde167               10        9         9         8         9         8         3         3         2         8         10        
Vardas168                Pavarde168               6         2         7         3         6         4         5         1         10        1         5         
Vardas169                Pavarde169               6         4         9         5         5         1         3         4         2         10        10        
Vardas170                Pavarde170               5         10        3         4         7         9         1         3         1         6         9         
Vardas171                Pavarde171               9         2         4         9         6         1         8         2         7         9         5         
Vardas172                Pavarde172               2         7         1         3         6         4         7         5         2         10        2         
Vardas173                Pavarde173               1         10        2         8         2         10        6         6         5         4         5         
Vardas174                Pavarde174               2         4         8         10        1         2         3         8         10        3         6         
Vardas175                Pavarde175               6         8         7         1         2         10        9         7         1         7         1         
Vardas176                Pavarde176               6         8         6         7         3         6         8         4         3         8         3         
Vardas177                Pavarde177               5         8         4         7         9         9         7         5         8         2         9         
Vardas178                Pavarde178               9         10        2         9         8         9         6         9         7         4         7         
Vardas179                Pavarde179               4         9         7         8         7         9         4         6         1         2         3         
Vardas180                Pavarde180               8         2         4         2         9         4         5         10        1         6         1         
Vardas181                Pavarde181               9         7         4         8         10        5         2         7         5         10        10        
Vardas182                Pavarde182               4         10        10        3         6         7         4         2         7         10        8         
Vardas183                Pavarde183               10        5         2         9         2         2         5         7         1         10        8         
Vardas184                Pavarde184               6         1         4         3         5         6         3         3         3         10        6         
Vardas185                Pavarde185               7         7         10        5         3         7         7         4         6         1         8         
Vardas186                Pavarde186               1         2         3         3         1         10        5         7         8         7         2         
Vardas187                Pavarde187               8         10        6         10        10        6         4         4         5         10        2         
Vardas188                Pavarde188               2         3         3         5         6         2         4         2         7         9         1         
Vardas189                Pavarde189               7         1         9         10        4         5         8         10        4         5         10        
Vardas190                Pavarde190               7         5         5         2         3         10        5         8         9         4         3         
Vardas191                Pavarde191               1         5         4         9         10        8         7         6         4         1         3         
Vardas192                Pavarde192               1         5         9         2         2         3         8         2         10        4         9         
Vardas193                Pavarde193               9         10        2         1         10        4         5         7         8         2         6         
Vardas194                Pavarde194               5         6         3         6         2         8         6         1         2         2         4         
Vardas195                Pavarde195               5         9         8         2         4         3         1         6         9         5         7         
Vardas196                Pavarde196               9         5         5         1         2         8         5         10        7         6         8         
Vardas197                Pavarde197               6         8         10        10        5         3         4         8         7         10        1         
Vardas198                Pavarde198               7         8         9         5         4         9         5         8         8         3         4         
Vardas199                Pavarde199               2         2         9         7         9         4         9         4         7         2         9         
Vardas200                Pavarde200               10        4         7         6         1         4         2         5         4         6         7         
Vardas201                Pavarde201               9         5         9         4         5         1         6         1         10        3         5         
Vardas202                Pavarde202               5         3         10        3         5         2         5         8         4         5         10        
Vardas203                Pavarde203               4         9         4         6         5         4         5         10        6         3         2         
Vardas204                Pavarde204               9         6         6         4         1         6         7         8         1         10        9         
Vardas205                Pavarde205               10        10        7         5         9         8         5         8         1         3         1         
Vardas206                Pavarde206               3         4         4         7         5         7         9         5         10        6         1         
Vardas207                Pavarde207               2         1         6         8         7         1         10        4         10        3         1         
Vardas208                Pavarde208               5         3         1         3         8         4         1         6         3         8         5         
Vardas209                Pavarde209               2         6         3         4         9         3         10        10        7         6         2         
Vardas210                Pavarde210               4         5         8         8         10        9         5         3         1         8         7         
Vardas211                Pavarde211               7         4         3         7         6         4         4         7         2         5         1         
Vardas212                Pavarde212               2         7         1         7         8         3         4         9         9         3         3         
Vardas213                Pavarde213               8         4         1         10        1         4         3         10        1         10        7         
Vardas214                Pavarde214               7         3         1         8         10        5         5         4         1         4         3         
Vardas215                Pavarde215               1         9         9         1         1         3         10        4         10        1         10        
Vardas216                Pavarde216               4         2         2         7         6         8         5         3         8         4         9         
Vardas217                Pavarde217               9         8         8         4         10        7         1         3         6         4         10        
Vardas218                Pavarde218               8         1         7         2         8         4         3         1         10        6         6         
Vardas219                Pavarde219               1         3         10        3         9         9         5         10        8         10        2         
Vardas220                Pavarde220               6         6         1         8         1         6         8         7         10        10        3         
Vardas221                Pavarde221               8         2         10        6         7         2         8         6         7         10        1         
Vardas222                Pavarde222               2         5         3         9         1         4         10        1         5         5         5         
Vardas223                Pavarde223               9         6         4         5         6         5         9         8         10        10        1         
Vardas224                Pavarde224               9         10        6         9         3         3         8         1         8         9         4         
Vardas225                Pavarde225               10        1         2         1         2         9         6         7         1         7         1         
Vardas226                Pavarde226               5         1         1         4         7         7         8         10        8         9         8         
Vardas227                Pavarde227               2         3         6         9         10        9         8         2         7         4         5         
Vardas228                Pavarde228               9         6         10        6         7         4         7         10        6         6         7         
Vardas229                Pavarde229               9         9         8         10        8         7         10        4         8         7         1         
Vardas230                Pavarde230               7         10        1         8         9         3         8         5         9         7         8         
Vardas231                Pavarde231               7         4         3         9         5         4         2         7         2         7         8         
Vardas232                Pavarde232               1         4         9         1         8         1         7         10        6         7         9         
Vardas233                Pavarde233               2         1         3         4         7         1         7         10        1         6         6         
Vardas234                Pavarde234               10        7         7         7         1         1         4         10        6         7         4         
Vardas235                Pavarde235               9         7         10        5         3         2         4         1         4         7         9         
Vardas236                Pavarde236               2         7         7         3         9         2         10        5         4         6         6         
Vardas237                Pavarde237               8         7         8         5         3         10        9         3         9         10        7         
Vardas238                Pavarde238               5         2         1         6         3         5         2         3         9         6         4         
Vardas239                Pavarde239               4         10        7         1         4         5         2         10        6         7         7         
Vardas240                Pavarde240               8         6         1         8         10        4         7         4         10        8         6         
Vardas241                Pavarde241               5         4         1         5         4         7         2         4         5         7         5         
Vardas242                Pavarde242               4         7         2         3         8         1         8         9         4         9         8         
Vardas243                Pavarde243               7         10        8         8         10        7         7         5         7         10        10        
Vardas244                Pavarde244               10        1         10        6         2         1         7         10        3         10        10        
Vardas245                Pavarde245               9         8         2         8         4         10        10        6         10        4         5         
Vardas246                Pavarde246               8         5         4         8         1         1         9         6         4         2         1         
Vardas247                Pavarde247               9         9         5         6         5         4         8         4         7         7         9         
Vardas248                Pavarde248               7         4         4         6         2         6         10        3         2         4         6         
Vardas249                Pavarde249               1         7         1         4         6         10        7         8         9         6         4         
Vardas250                Pavarde250               8         3         9         6         7         6         8         5         2         3         4         
Vardas251                Pavarde251               5         3         8         3         6         10        9         5         8         1         6         
Vardas252                Pavarde252               6         10        10        5         1         3         1         10        7         9         2         
Vardas253                Pavarde253               7         5         4         3         7         2         5         4         4         6         5         
Vardas254                Pavarde254               4         8         7         3         9         4         7         3         6         2         5         
Vardas255                Pavarde255               6         9         7         7         9         7         7         9         9         2         8         
Vardas256                Pavarde256               2         10        2         5         10        7         10        1         1         10        10        
Vardas257                Pavarde257               7         5         5         3         7         4         10        10        5         9         5         
Vardas258                Pavarde258               8         4         2         7         3         7         9         5         8         6         10        
Vardas259                Pavarde259               10        9         8         7         3         4         7         10        2         3         1         
Vardas260                Pavarde260               9         4         10        9         6         10        9         4         2         1         4         
Vardas261                Pavarde261               1         1         7         4         7         1         10        4         10        3         9         
Vardas262                Pavarde262               1         8         10        2         3         10        5         5         8         3         6         
Vardas263                Pavarde263               9         1         4         1         7         10        2         2         3         6         4         
Vardas264                Pavarde264               8         5         4         9         6         10        9         7         1         5         9         
Vardas265                Pavarde265               5         3         6         6         3         10        7         6         4         2         4         
Vardas266                Pavarde266               1         1         4         7         3         2         5         8         9         8         9         
Vardas267                Pavarde267               2         4         8         5         7         9         5         1         10        2         9         
Vardas268                Pavarde268               4         7         2         8         9         10        4         6         3         7         5         
Vardas269                Pavarde269               7         3         3         5         2         5         1         7         10        2         10        
Vardas270                Pavarde270               6         1         9         7         5         10        7         7         9         6         4         
Vardas271                Pavarde271               6         8         4         8         2         7         4         8         5         10        8         
Vardas272                Pavarde272               4         7         6         2         2         6         3         10        9         9         3         
Vardas273                Pavarde273               6         9         1         6         9         8         8         5         8         2         7         
Vardas274                Pavarde274               7         10        5         7         2         2         1         6         2         5         4         
Vardas275                Pavarde275               1         1         5         1         5         2         5         10        8         5         6         
Vardas276                Pavarde276               5         10        9         3         2         2         8         9         10        10        8         
Vardas277                Pavarde277               6         2         1         2         3         1         6         5         10        9         9         
Vardas278                Pavarde278               7         8         4         8         4         7         8         1         9         6         10        
Vardas279                Pavarde279               2         9         1         2         3         1         8         7         8         2         3         
