Vardas                   Pavarde                  ND1ND        2ND        3ND        4ND        5Egz.      
Vardas283                Pavarde283               5         4         8         3         5         6         
Vardas284                Pavarde284               2         1         10        2         2         7         
Vardas285                Pavarde285               5         4         8         9         6         9         
Vardas286                Pavarde286               6         10        10        7         8         7         
Vardas287                Pavarde287               9         9         10        9         8         2         
Vardas288                Pavarde288               9         8         4         6         9         3         
Vardas289                Pavarde289               3         5         6         10        2         1         
Vardas290                Pavarde290               10        9         10        5         2         9         
Vardas291                Pavarde291               1         4         9         4         6         3         
Vardas292                Pavarde292               4         2         9         7         1         9         
Vardas293                Pavarde293               10        1         9         3         6         7         
Vardas294                Pavarde294               2         7         7         10        10        10        
Vardas295                Pavarde295               6         5         2         9         5         10        
Vardas296                Pavarde296               7         10        6         7         6         10        
Vardas297                Pavarde297               2         7         9         7         9         1         
Vardas298                Pavarde298               5         7         7         8         6         3         
Vardas299                Pavarde299               4         1         8         6         10        7         
Vardas300                Pavarde300               6         3         5         9         7         3         
Vardas301                Pavarde301               7         1         10        7         9         10        
Vardas302                Pavarde302               1         7         3         3         4         9         
Vardas303                Pavarde303               6         10        1         8         8         10        
Vardas304                Pavarde304               5         5         3         3         3         10        
Vardas305                Pavarde305               1         9         4         2         10        3         
Vardas306                Pavarde306               3         2         2         8         9         2         
Vardas307                Pavarde307               5         10        8         4         9         4         
Vardas308                Pavarde308               2         4         9         3         6         1         
Vardas309                Pavarde309               4         7         6         3         3         7         
Vardas310                Pavarde310               10        7         5         10        8         2         
Vardas311                Pavarde311               7         2         3         7         4         1         
Vardas312                Pavarde312               6         7         5         5         2         2         
Vardas313                Pavarde313               2         4         5         9         6         8         
Vardas314                Pavarde314               8         4         5         10        1         9         
Vardas315                Pavarde315               6         2         5         10        2         3         
Vardas316                Pavarde316               7         1         6         5         7         3         
Vardas317                Pavarde317               6         10        1         7         1         9         
Vardas318                Pavarde318               3         4         9         7         5         4         
Vardas319                Pavarde319               10        2         7         4         5         1         
Vardas320                Pavarde320               7         8         6         7         10        3         
Vardas321                Pavarde321               10        3         8         7         6         8         
Vardas322                Pavarde322               3         7         7         8         7         1         
Vardas323                Pavarde323               1         2         1         9         5         7         
Vardas324                Pavarde324               7         7         1         3         1         9         
Vardas325                Pavarde325               7         7         5         2         9         2         
Vardas326                Pavarde326               8         5         4         8         3         9         
Vardas327                Pavarde327               4         2         6         8         3         3         
Vardas328                Pavarde328               5         3         10        10        5         6         
Vardas329                Pavarde329               3         5         3         5         6         3         
Vardas330                Pavarde330               5         6         6         4         8         10        
Vardas331                Pavarde331               7         7         3         3         3         5         
Vardas332                Pavarde332               6         5         6         6         4         7         
Vardas333                Pavarde333               3         5         9         9         5         1         
Vardas334                Pavarde334               2         5         1         1         7         5         
Vardas335                Pavarde335               4         4         2         1         6         6         
Vardas336                Pavarde336               5         1         4         8         9         9         
Vardas337                Pavarde337               8         8         9         6         1         5         
Vardas338                Pavarde338               2         8         6         2         1         6         
Vardas339                Pavarde339               5         1         9         1         3         3         
Vardas340                Pavarde340               2         5         5         6         1         7         
Vardas341                Pavarde341               8         5         3         6         2         1         
Vardas342                Pavarde342               1         7         7         6         9         3         
Vardas343                Pavarde343               4         2         10        10        6         8         
Vardas344                Pavarde344               5         4         3         6         10        9         
Vardas345                Pavarde345               5         4         6         1         4         10        
Vardas346                Pavarde346               9         7         3         9         3         4         
Vardas347                Pavarde347               3         1         3         4         6         3         
Vardas348                Pavarde348               7         7         9         5         10        7         
Vardas349                Pavarde349               10        10        10        8         1         4         
Vardas350                Pavarde350               5         6         7         2         9         6         
Vardas351                Pavarde351               9         6         9         5         9         5         
Vardas352                Pavarde352               10        8         6         7         1         10        
Vardas353                Pavarde353               9         5         1         1         4         9         
Vardas354                Pavarde354               5         3         5         7         5         7         
Vardas355                Pavarde355               1         3         10        7         5         3         
Vardas356                Pavarde356               8         8         7         7         2         10        
Vardas357                Pavarde357               1         10        5         7         8         9         
Vardas358                Pavarde358               10        6         6         8         3         6         
Vardas359                Pavarde359               10        2         1         3         5         3         
Vardas360                Pavarde360               3         4         10        6         7         3         
Vardas361                Pavarde361               9         9         9         10        3         1         
Vardas362                Pavarde362               3         4         9         6         6         7         
Vardas363                Pavarde363               4         6         5         1         5         10        
Vardas364                Pavarde364               3         7         2         8         6         10        
Vardas365                Pavarde365               1         1         5         8         3         3         
Vardas366                Pavarde366               9         7         5         2         7         1         
Vardas367                Pavarde367               1         1         1         10        2         4         
Vardas368                Pavarde368               5         9         4         6         2         8         
Vardas369                Pavarde369               4         1         2         9         9         7         
Vardas370                Pavarde370               7         3         5         5         8         8         
Vardas371                Pavarde371               8         8         10        3         1         3         
Vardas372                Pavarde372               8         2         10        7         10        10        
Vardas373                Pavarde373               1         6         8         10        1         7         
Vardas374                Pavarde374               9         2         7         3         10        6         
Vardas375                Pavarde375               6         5         8         5         6         3         
Vardas376                Pavarde376               9         1         2         7         4         8         
Vardas377                Pavarde377               7         7         8         10        9         7         
Vardas378                Pavarde378               6         7         8         2         6         9         
Vardas379                Pavarde379               1         1         2         4         6         9         
Vardas380                Pavarde380               1         3         7         4         3         8         
Vardas381                Pavarde381               5         1         7         2         6         8         
Vardas382                Pavarde382               5         2         7         10        2         8         
Vardas383                Pavarde383               6         4         8         6         2         2         
Vardas384                Pavarde384               10        9         10        4         7         7         
Vardas385                Pavarde385               2         9         2         1         8         2         
Vardas386                Pavarde386               5         5         10        3         3         3         
Vardas387                Pavarde387               6         6         10        7         9         1         
Vardas388                Pavarde388               10        7         4         9         4         4         
Vardas389                Pavarde389               10        8         2         9         2         3         
Vardas390                Pavarde390               1         8         4         7         8         1         
Vardas391                Pavarde391               8         7         10        7         10        7         
Vardas392                Pavarde392               3         3         9         4         8         6         
Vardas393                Pavarde393               10        10        7         7         4         6         
Vardas394                Pavarde394               8         4         10        1         10        2         
Vardas395                Pavarde395               10        2         5         3         7         3         
Vardas396                Pavarde396               1         6         6         1         1         2         
Vardas397                Pavarde397               3         8         9         8         8         2         
Vardas398                Pavarde398               2         2         7         3         1         9         
Vardas399                Pavarde399               8         10        9         2         2         9         
Vardas400                Pavarde400               8         3         10        10        1         5         
Vardas401                Pavarde401               3         1         7         3         5         3         
Vardas402                Pavarde402               10        6         8         8         10        2         
Vardas403                Pavarde403               1         5         9         3         8         10        
Vardas404                Pavarde404               10        3         1         1         7         9         
Vardas405                Pavarde405               8         3         7         4         2         4         
