Vardas                   Pavarde                  ND 1      ND 2      ND 3      ND 4      ND 5      ND 6      ND 7      ND 8      ND 9      ND 10     Egz.      
Vardas78                 Pavarde78                2         5         5         7         3         7         9         3         6         6         2         
Vardas79                 Pavarde79                1         2         6         2         8         7         1         1         3         5         4         
Vardas80                 Pavarde80                4         7         3         9         3         4         5         4         5         4         7         
Vardas81                 Pavarde81                9         5         8         4         10        9         1         1         9         9         1         
Vardas82                 Pavarde82                6         2         5         4         7         4         10        3         2         10        9         
Vardas83                 Pavarde83                3         4         5         1         3         4         2         10        9         10        9         
Vardas84                 Pavarde84                10        2         4         6         2         5         3         6         4         9         10        
Vardas85                 Pavarde85                3         9         8         1         2         5         9         2         10        4         6         
Vardas86                 Pavarde86                10        8         10        9         1         2         5         8         6         6         6         
Vardas87                 Pavarde87                1         10        3         9         3         5         6         1         5         5         1         
Vardas88                 Pavarde88                6         2         2         6         10        1         9         4         9         8         3         
Vardas89                 Pavarde89                7         10        4         9         2         1         4         4         9         5         9         
Vardas90                 Pavarde90                1         2         6         5         2         4         8         4         6         9         6         
Vardas91                 Pavarde91                7         10        1         9         10        4         7         1         7         10        8         
Vardas92                 Pavarde92                9         10        5         2         6         7         7         7         7         7         8         
Vardas93                 Pavarde93                2         5         1         7         2         3         2         5         10        6         3         
Vardas94                 Pavarde94                4         5         2         6         3         4         2         7         9         9         3         
Vardas95                 Pavarde95                8         8         2         3         7         1         5         10        5         7         1         
Vardas96                 Pavarde96                4         7         3         5         6         9         9         2         3         2         5         
Vardas97                 Pavarde97                10        9         3         5         6         3         10        10        9         4         9         
Vardas98                 Pavarde98                7         10        9         7         7         3         4         9         3         7         3         
Vardas99                 Pavarde99                8         6         8         9         3         8         9         1         3         1         9         
Vardas100                Pavarde100               10        3         9         3         1         6         6         3         8         7         8         
Vardas101                Pavarde101               9         8         9         2         7         1         10        6         9         10        1         
Vardas102                Pavarde102               1         1         8         3         6         6         3         2         5         9         7         
Vardas103                Pavarde103               5         7         9         10        9         4         6         6         2         6         6         
Vardas104                Pavarde104               9         5         1         6         5         8         3         2         5         10        10        
Vardas105                Pavarde105               1         4         1         4         6         1         8         7         8         9         4         
Vardas106                Pavarde106               7         5         5         2         10        6         6         8         5         8         4         
Vardas107                Pavarde107               5         1         9         9         2         6         3         4         3         5         7         
Vardas108                Pavarde108               7         7         3         10        1         5         10        4         2         2         10        
Vardas109                Pavarde109               10        6         6         6         7         1         6         10        5         7         4         
Vardas110                Pavarde110               5         10        1         6         4         10        2         3         9         9         2         
Vardas111                Pavarde111               9         7         1         3         5         10        1         3         3         2         6         
Vardas112                Pavarde112               5         5         5         3         6         1         5         3         2         3         8         
Vardas113                Pavarde113               8         10        6         6         5         1         4         5         2         3         3         
Vardas114                Pavarde114               10        9         3         3         8         9         6         9         4         10        5         
Vardas115                Pavarde115               5         7         10        9         6         7         7         1         8         3         8         
Vardas116                Pavarde116               3         7         5         8         2         4         3         2         7         4         9         
Vardas117                Pavarde117               4         3         9         7         1         2         3         7         1         6         5         
Vardas118                Pavarde118               7         8         10        4         5         8         9         9         2         7         4         
Vardas119                Pavarde119               9         8         7         2         8         3         4         8         9         6         9         
Vardas120                Pavarde120               6         9         8         4         4         2         1         9         2         1         10        
Vardas121                Pavarde121               3         5         10        2         6         8         4         4         5         3         3         
Vardas122                Pavarde122               1         2         3         8         8         1         3         5         2         1         4         
Vardas123                Pavarde123               8         4         10        6         10        8         3         1         3         9         7         
Vardas124                Pavarde124               8         1         9         2         9         4         1         4         7         3         1         
Vardas125                Pavarde125               3         9         5         2         9         4         8         6         9         2         8         
Vardas126                Pavarde126               1         5         9         9         2         4         7         8         9         10        6         
Vardas127                Pavarde127               6         6         7         7         4         1         1         9         9         3         4         
Vardas128                Pavarde128               1         7         6         1         10        8         3         3         9         3         10        
Vardas129                Pavarde129               5         5         9         3         8         3         6         9         5         8         4         
Vardas130                Pavarde130               10        6         2         10        1         3         9         4         2         5         4         
Vardas131                Pavarde131               2         1         5         1         8         10        1         9         2         5         1         
Vardas132                Pavarde132               8         10        6         4         9         3         4         3         2         1         5         
Vardas133                Pavarde133               1         8         6         10        1         6         2         3         1         10        9         
Vardas134                Pavarde134               10        2         8         4         4         1         8         7         7         1         3         
Vardas135                Pavarde135               9         10        9         10        10        10        5         3         1         9         8         
Vardas136                Pavarde136               9         8         4         1         8         7         5         3         2         10        2         
Vardas137                Pavarde137               7         1         4         4         7         3         3         2         5         4         3         
Vardas138                Pavarde138               7         1         6         5         10        7         1         9         3         8         5         
Vardas139                Pavarde139               1         8         7         1         2         3         10        4         9         6         2         
Vardas140                Pavarde140               6         7         7         9         9         10        9         8         1         8         10        
Vardas141                Pavarde141               2         6         9         7         4         10        5         6         4         9         3         
Vardas142                Pavarde142               4         10        5         9         6         2         4         3         9         2         7         
Vardas143                Pavarde143               5         7         8         8         10        7         5         2         10        3         7         
Vardas144                Pavarde144               4         2         6         10        8         1         3         7         2         8         7         
Vardas145                Pavarde145               3         6         4         5         1         8         6         6         4         2         9         
Vardas146                Pavarde146               9         9         1         2         8         6         1         6         10        1         10        
Vardas147                Pavarde147               4         6         5         3         8         3         7         8         3         3         1         
Vardas148                Pavarde148               2         2         8         6         10        2         9         2         8         9         7         
Vardas149                Pavarde149               7         10        10        3         7         7         6         9         5         1         4         
Vardas150                Pavarde150               8         9         4         2         2         3         6         8         7         3         2         
Vardas151                Pavarde151               7         2         2         6         8         5         9         6         7         5         10        
Vardas152                Pavarde152               9         5         4         3         6         4         9         4         3         8         1         
Vardas153                Pavarde153               7         9         1         2         2         10        6         4         7         4         2         
Vardas154                Pavarde154               6         4         5         1         4         2         8         10        1         4         6         
Vardas155                Pavarde155               3         10        2         3         7         2         8         1         2         6         3         
Vardas156                Pavarde156               3         10        1         6         2         9         4         7         9         9         7         
Vardas157                Pavarde157               2         7         7         8         1         5         10        9         10        5         10        
Vardas158                Pavarde158               9         8         6         7         5         9         7         9         8         9         1         
Vardas159                Pavarde159               10        6         7         10        1         1         2         4         6         6         9         
Vardas160                Pavarde160               1         2         8         8         5         7         8         1         8         5         2         
Vardas161                Pavarde161               3         2         9         4         6         8         2         5         8         7         9         
Vardas162                Pavarde162               3         4         1         3         8         9         9         6         10        8         2         
Vardas163                Pavarde163               4         5         8         2         4         8         2         3         8         6         4         
Vardas164                Pavarde164               5         5         6         6         2         5         2         3         7         7         4         
Vardas165                Pavarde165               4         1         1         9         2         4         9         2         7         10        9         
Vardas166                Pavarde166               1         2         4         10        4         10        4         7         6         6         5         
Vardas167                Pavarde167               1         6         1         7         6         6         2         9         10        7         3         
Vardas168                Pavarde168               3         6         1         6         3         6         3         1         7         8         3         
Vardas169                Pavarde169               9         1         1         7         9         4         1         7         5         4         8         
Vardas170                Pavarde170               1         6         3         1         8         6         7         2         9         2         9         
Vardas171                Pavarde171               6         7         6         10        3         7         6         3         4         3         2         
Vardas172                Pavarde172               3         3         9         9         9         8         5         1         1         6         10        
Vardas173                Pavarde173               10        6         4         1         10        10        6         2         2         2         3         
Vardas174                Pavarde174               4         4         10        8         3         4         4         1         5         9         5         
Vardas175                Pavarde175               4         10        3         5         10        1         6         8         5         8         7         
Vardas176                Pavarde176               7         4         1         10        1         9         1         2         6         2         1         
Vardas177                Pavarde177               4         10        6         9         10        7         3         6         8         7         4         
Vardas178                Pavarde178               9         6         10        4         1         3         6         2         6         8         8         
Vardas179                Pavarde179               10        5         2         8         9         6         8         9         9         5         3         
Vardas180                Pavarde180               4         9         5         2         4         1         5         2         8         8         3         
Vardas181                Pavarde181               2         4         2         4         2         6         2         6         1         6         2         
Vardas182                Pavarde182               3         3         2         6         6         4         9         10        3         9         5         
Vardas183                Pavarde183               3         8         6         9         5         1         10        5         5         4         6         
Vardas184                Pavarde184               9         5         2         1         4         4         5         1         7         8         6         
Vardas185                Pavarde185               6         7         1         10        9         4         6         8         10        1         5         
Vardas186                Pavarde186               9         8         5         1         3         4         6         5         2         7         7         
Vardas187                Pavarde187               5         6         3         10        2         3         5         10        10        4         8         
Vardas188                Pavarde188               7         6         9         8         9         10        8         8         2         7         6         
Vardas189                Pavarde189               1         2         4         3         7         1         6         8         5         5         10        
Vardas190                Pavarde190               1         7         2         2         10        1         5         3         2         10        8         
Vardas191                Pavarde191               1         10        4         4         4         2         4         6         7         10        6         
Vardas192                Pavarde192               10        9         9         4         10        6         2         4         7         3         9         
Vardas193                Pavarde193               9         2         10        9         2         4         4         5         4         10        3         
Vardas194                Pavarde194               8         3         2         8         7         2         8         4         1         7         1         
Vardas195                Pavarde195               3         6         7         1         8         3         1         10        6         5         4         
Vardas196                Pavarde196               3         6         7         1         9         9         2         6         8         6         8         
Vardas197                Pavarde197               10        3         4         8         3         8         10        4         7         4         9         
Vardas198                Pavarde198               2         1         7         9         8         7         6         2         3         10        6         
Vardas199                Pavarde199               7         2         6         5         2         4         9         6         1         10        3         
Vardas200                Pavarde200               2         4         4         6         3         10        1         5         9         6         8         
Vardas201                Pavarde201               4         4         1         4         1         4         3         2         2         1         9         
Vardas202                Pavarde202               2         9         8         3         9         10        3         4         1         3         9         
Vardas203                Pavarde203               3         6         6         9         2         3         5         10        9         9         3         
Vardas204                Pavarde204               8         2         8         10        6         1         4         5         1         2         6         
Vardas205                Pavarde205               4         5         3         4         3         10        5         10        3         5         10        
Vardas206                Pavarde206               1         5         5         10        9         6         4         3         4         1         2         
Vardas207                Pavarde207               8         2         10        9         9         4         3         10        4         4         3         
Vardas208                Pavarde208               9         4         5         1         3         1         2         3         2         1         8         
Vardas209                Pavarde209               7         7         9         1         6         9         9         10        6         8         4         
Vardas210                Pavarde210               3         3         3         1         1         3         4         2         7         9         8         
Vardas211                Pavarde211               8         3         9         8         10        6         10        3         10        2         4         
Vardas212                Pavarde212               1         9         2         10        3         1         3         5         8         6         9         
Vardas213                Pavarde213               2         1         1         8         2         7         10        4         1         4         8         
Vardas214                Pavarde214               4         1         5         4         3         4         2         1         3         8         8         
Vardas215                Pavarde215               2         4         1         8         1         4         7         4         2         10        6         
Vardas216                Pavarde216               7         2         6         2         1         10        8         4         1         9         2         
Vardas217                Pavarde217               6         2         8         2         8         10        5         10        9         1         1         
Vardas218                Pavarde218               2         9         6         1         9         10        3         9         1         9         6         
Vardas219                Pavarde219               2         5         8         4         7         2         7         9         1         9         7         
Vardas220                Pavarde220               6         8         2         1         3         9         4         6         6         7         2         
Vardas221                Pavarde221               5         10        4         9         4         3         4         4         8         4         1         
Vardas222                Pavarde222               2         5         9         8         9         10        9         10        8         10        2         
Vardas223                Pavarde223               10        6         9         10        7         10        4         4         2         5         2         
Vardas224                Pavarde224               5         6         8         7         4         5         7         4         9         4         5         
Vardas225                Pavarde225               3         8         9         10        1         2         5         1         8         4         5         
Vardas226                Pavarde226               10        5         6         7         9         10        9         10        10        8         1         
Vardas227                Pavarde227               9         5         6         7         10        4         7         3         1         1         7         
Vardas228                Pavarde228               6         2         7         2         10        8         4         6         1         1         7         
Vardas229                Pavarde229               6         2         9         3         8         3         5         6         3         3         6         
Vardas230                Pavarde230               9         7         10        9         4         6         6         1         6         9         2         
Vardas231                Pavarde231               6         1         8         4         5         2         6         7         5         2         8         
Vardas232                Pavarde232               1         5         1         7         2         1         6         6         3         6         9         
Vardas233                Pavarde233               4         3         8         9         6         3         8         3         10        8         7         
Vardas234                Pavarde234               4         2         6         10        9         10        6         5         10        6         3         
Vardas235                Pavarde235               6         3         3         4         1         9         8         3         9         4         8         
Vardas236                Pavarde236               6         5         2         9         3         10        7         9         10        9         2         
Vardas237                Pavarde237               7         4         8         6         5         2         1         2         3         3         9         
Vardas238                Pavarde238               6         5         7         8         8         4         5         5         10        2         9         
Vardas239                Pavarde239               4         9         8         10        8         2         2         5         4         6         3         
Vardas240                Pavarde240               10        2         6         6         7         8         10        1         3         4         2         
Vardas241                Pavarde241               10        9         8         9         5         5         5         4         6         9         1         
Vardas242                Pavarde242               3         10        5         10        9         4         6         1         5         4         6         
Vardas243                Pavarde243               3         6         8         8         8         5         5         1         5         2         2         
Vardas244                Pavarde244               6         5         1         3         9         7         9         2         5         8         7         
Vardas245                Pavarde245               5         10        9         8         4         9         7         3         9         1         10        
Vardas246                Pavarde246               9         1         5         10        7         9         3         9         5         8         10        
Vardas247                Pavarde247               5         1         8         5         9         2         9         3         3         2         5         
Vardas248                Pavarde248               7         7         10        4         9         2         4         7         5         6         3         
Vardas249                Pavarde249               3         1         2         1         4         9         8         4         4         2         5         
Vardas250                Pavarde250               6         7         2         3         2         10        2         9         1         5         8         
Vardas251                Pavarde251               8         5         2         2         10        9         2         1         4         3         6         
Vardas252                Pavarde252               1         4         3         3         7         4         4         7         2         6         9         
Vardas253                Pavarde253               3         2         10        4         10        8         3         2         4         3         1         
Vardas254                Pavarde254               10        3         8         5         6         1         4         3         10        8         9         
Vardas255                Pavarde255               1         2         2         5         8         5         4         10        10        7         8         
Vardas256                Pavarde256               7         3         1         10        7         3         4         1         4         6         2         
Vardas257                Pavarde257               10        7         8         10        3         8         6         7         9         3         5         
Vardas258                Pavarde258               7         4         1         10        2         9         8         7         9         5         1         
Vardas259                Pavarde259               4         8         10        7         3         3         8         4         1         8         4         
Vardas260                Pavarde260               1         8         4         7         5         7         8         5         1         2         3         
Vardas261                Pavarde261               5         5         7         4         5         6         1         3         1         2         7         
Vardas262                Pavarde262               10        4         8         10        2         6         3         5         5         2         4         
Vardas263                Pavarde263               5         7         9         9         8         1         4         5         5         7         8         
Vardas264                Pavarde264               2         9         2         3         2         3         4         2         2         2         1         
Vardas265                Pavarde265               9         10        2         1         10        8         8         5         6         2         7         
Vardas266                Pavarde266               8         9         4         10        4         2         4         10        7         4         8         
Vardas267                Pavarde267               6         3         1         8         2         8         1         7         8         2         8         
Vardas268                Pavarde268               6         5         9         2         8         6         3         2         8         6         4         
Vardas269                Pavarde269               2         1         1         1         6         1         1         8         9         7         5         
Vardas270                Pavarde270               10        2         5         9         1         9         10        10        8         10        10        
Vardas271                Pavarde271               10        7         1         7         4         9         1         4         7         10        5         
Vardas272                Pavarde272               3         1         5         5         4         7         10        2         9         10        2         
Vardas273                Pavarde273               2         9         7         4         6         1         10        2         1         9         3         
Vardas274                Pavarde274               3         7         9         10        8         8         9         10        4         1         6         
Vardas275                Pavarde275               7         4         10        8         8         5         4         6         9         4         4         
Vardas276                Pavarde276               4         7         2         1         5         8         5         3         8         2         6         
Vardas277                Pavarde277               8         3         3         8         1         4         7         1         10        9         10        
Vardas278                Pavarde278               7         5         1         3         10        1         4         3         3         5         8         
Vardas279                Pavarde279               8         5         6         4         2         4         4         5         4         6         3         
Vardas280                Pavarde280               2         7         10        9         9         5         2         5         6         8         4         
Vardas281                Pavarde281               1         3         8         8         8         1         3         1         1         9         7         
Vardas282                Pavarde282               5         6         1         2         6         8         4         3         8         10        2         
Vardas283                Pavarde283               2         5         1         4         4         2         6         9         4         1         6         
Vardas284                Pavarde284               2         1         3         6         2         1         5         1         7         5         9         
Vardas285                Pavarde285               10        6         7         3         3         3         2         8         5         8         9         
Vardas286                Pavarde286               7         1         1         3         2         4         10        3         5         2         6         
Vardas287                Pavarde287               5         1         7         7         9         2         4         4         2         1         6         
Vardas288                Pavarde288               9         10        4         9         10        9         5         4         10        10        7         
Vardas289                Pavarde289               10        8         8         3         6         3         4         3         9         4         4         
Vardas290                Pavarde290               9         6         8         9         9         2         4         6         2         3         1         
Vardas291                Pavarde291               9         7         6         6         4         10        6         4         6         5         9         
Vardas292                Pavarde292               6         1         4         6         1         9         5         4         6         9         2         
Vardas293                Pavarde293               3         7         1         3         3         2         7         6         1         2         8         
Vardas294                Pavarde294               8         4         9         4         6         2         4         3         2         10        5         
Vardas295                Pavarde295               3         4         1         2         5         9         7         7         2         4         9         
Vardas296                Pavarde296               8         10        5         5         4         6         5         5         3         8         8         
Vardas297                Pavarde297               6         7         7         10        1         8         1         10        9         7         8         
Vardas298                Pavarde298               4         3         1         2         6         4         6         7         6         5         7         
Vardas299                Pavarde299               9         2         6         9         6         4         4         3         9         8         7         
Vardas300                Pavarde300               10        7         5         7         4         3         2         1         6         9         8         
Vardas301                Pavarde301               1         1         4         8         4         5         7         3         1         2         2         
Vardas302                Pavarde302               7         6         4         5         10        6         4         5         4         8         8         
Vardas303                Pavarde303               1         10        2         6         5         1         1         8         2         3         4         
Vardas304                Pavarde304               8         8         4         4         4         10        2         6         9         9         9         
Vardas305                Pavarde305               1         3         5         5         4         4         7         8         7         7         2         
Vardas306                Pavarde306               5         9         2         7         6         10        7         9         8         2         10        
Vardas307                Pavarde307               2         7         8         7         4         8         2         3         8         10        5         
Vardas308                Pavarde308               8         2         9         3         5         9         9         2         7         3         1         
Vardas309                Pavarde309               5         9         6         10        5         5         5         10        10        5         6         
Vardas310                Pavarde310               4         3         2         8         5         4         2         10        1         8         4         
Vardas311                Pavarde311               9         5         3         7         10        9         8         8         5         9         8         
Vardas312                Pavarde312               9         4         3         2         10        4         8         5         5         5         4         
Vardas313                Pavarde313               6         2         4         3         9         1         10        1         4         5         10        
Vardas314                Pavarde314               5         5         4         10        9         6         4         9         2         3         4         
Vardas315                Pavarde315               9         10        9         6         2         1         7         2         9         2         9         
Vardas316                Pavarde316               8         8         3         9         3         4         7         7         10        7         6         
Vardas317                Pavarde317               2         4         9         1         8         7         2         7         1         4         2         
Vardas318                Pavarde318               1         5         4         2         6         9         10        6         5         6         8         
Vardas319                Pavarde319               5         5         7         8         8         6         3         7         9         9         10        
Vardas320                Pavarde320               2         10        9         1         6         1         3         10        7         1         3         
Vardas321                Pavarde321               3         10        3         7         8         4         7         1         6         3         2         
Vardas322                Pavarde322               8         2         2         6         4         3         7         7         9         2         6         
Vardas323                Pavarde323               9         7         10        5         7         7         3         9         9         2         7         
Vardas324                Pavarde324               9         8         9         10        8         10        1         6         9         3         7         
Vardas325                Pavarde325               10        8         2         8         6         2         7         5         5         10        10        
Vardas326                Pavarde326               7         2         6         6         7         1         8         6         1         8         10        
Vardas327                Pavarde327               6         7         9         6         4         8         1         8         6         3         4         
Vardas328                Pavarde328               1         5         10        9         6         9         1         1         10        8         8         
Vardas329                Pavarde329               5         5         8         6         10        3         4         3         3         4         2         
Vardas330                Pavarde330               10        8         4         1         5         4         8         9         1         9         9         
Vardas331                Pavarde331               2         3         8         5         10        2         10        4         7         3         1         
Vardas332                Pavarde332               8         3         1         1         6         4         6         8         8         5         5         
Vardas333                Pavarde333               4         4         9         7         5         5         6         10        3         5         5         
Vardas334                Pavarde334               3         5         3         6         4         3         4         5         1         3         4         
Vardas335                Pavarde335               8         3         1         8         8         7         2         8         6         7         8         
Vardas336                Pavarde336               10        1         9         6         8         5         3         6         7         6         9         
Vardas337                Pavarde337               9         3         9         6         3         8         7         8         4         4         6         
Vardas338                Pavarde338               7         10        5         5         6         10        7         10        3         10        6         
Vardas339                Pavarde339               7         2         8         9         4         8         3         7         10        2         1         
Vardas340                Pavarde340               1         5         6         7         4         7         5         7         8         7         4         
Vardas341                Pavarde341               10        2         5         8         6         1         1         6         6         9         9         
Vardas342                Pavarde342               7         10        9         2         6         7         1         7         1         5         8         
Vardas343                Pavarde343               9         7         5         1         4         5         2         1         1         5         4         
Vardas344                Pavarde344               7         2         1         6         7         9         7         8         7         8         9         
Vardas345                Pavarde345               10        5         6         2         1         3         9         7         8         1         8         
Vardas346                Pavarde346               8         5         7         3         3         10        7         6         7         5         1         
Vardas347                Pavarde347               7         10        7         3         10        2         3         7         5         8         1         
Vardas348                Pavarde348               9         3         5         2         1         1         4         7         2         8         10        
Vardas349                Pavarde349               9         1         3         10        9         10        8         5         8         8         6         
Vardas350                Pavarde350               4         10        2         3         10        7         2         2         5         10        9         
Vardas351                Pavarde351               7         10        8         5         9         3         6         9         3         6         7         
Vardas352                Pavarde352               2         10        4         8         2         4         3         1         7         9         10        
Vardas353                Pavarde353               10        4         10        2         2         4         5         9         3         5         10        
Vardas354                Pavarde354               2         5         4         10        5         10        6         3         2         7         8         
Vardas355                Pavarde355               3         6         2         9         1         8         6         8         5         3         10        
Vardas356                Pavarde356               2         9         5         5         9         2         3         9         5         7         8         
Vardas357                Pavarde357               4         2         6         9         6         5         3         7         7         5         7         
Vardas358                Pavarde358               2         5         1         5         7         7         8         6         9         2         2         
Vardas359                Pavarde359               6         2         2         10        1         8         7         4         5         5         6         
Vardas360                Pavarde360               8         3         7         6         7         3         10        7         6         4         3         
Vardas361                Pavarde361               2         7         4         5         10        1         6         7         6         1         7         
Vardas362                Pavarde362               6         4         4         3         7         7         1         7         3         1         1         
Vardas363                Pavarde363               6         3         1         6         7         2         1         5         10        5         1         
Vardas364                Pavarde364               3         7         7         5         1         8         3         7         7         9         6         
Vardas365                Pavarde365               2         1         1         3         2         4         9         5         4         6         1         
Vardas366                Pavarde366               9         8         1         6         4         6         7         4         1         3         10        
Vardas367                Pavarde367               10        4         8         10        4         10        4         1         3         6         2         
Vardas368                Pavarde368               2         9         4         4         8         5         7         8         2         10        5         
Vardas369                Pavarde369               7         2         3         9         3         6         8         8         9         5         3         
Vardas370                Pavarde370               1         7         6         1         6         7         1         8         3         5         5         
Vardas371                Pavarde371               5         1         6         1         7         7         3         7         4         2         8         
Vardas372                Pavarde372               6         6         6         5         9         10        10        9         2         3         8         
Vardas373                Pavarde373               8         10        3         2         9         3         10        8         10        10        1         
Vardas374                Pavarde374               1         7         5         3         6         4         6         2         10        8         9         
Vardas375                Pavarde375               5         10        2         10        9         8         10        7         10        6         7         
Vardas376                Pavarde376               5         8         5         5         9         7         6         2         5         10        9         
Vardas377                Pavarde377               9         8         4         5         6         8         8         6         2         4         4         
Vardas378                Pavarde378               8         10        7         6         4         5         1         3         5         10        9         
Vardas379                Pavarde379               1         5         3         7         2         6         7         2         1         6         1         
Vardas380                Pavarde380               5         9         8         1         9         2         8         3         9         1         2         
Vardas381                Pavarde381               2         10        2         1         4         3         4         3         3         9         2         
Vardas382                Pavarde382               9         8         6         7         3         7         5         8         5         4         8         
